,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1
HALLMARK_E2F_TARGETS,1.093648666960889,1.0946251448328457,1.0923299295673663,1.0928553472130267,0.9809257308351452,0.9818492372356118,0.9794125837050417,0.9815397416193682,1.036944615474629,1.0378432569832732,1.0358058418884994,1.034371201755821,0.6546278081832584,0.6562861652280217,0.6520541541268382,0.6556574515413802,0.6076138511719239,0.6092741026252726,0.6050368127061119,0.6087855188401861,0.6110603467989191,0.6127910740130201,0.6083833940566565,0.6122464457859219,0.22584479561513715,0.2892116692512897,0.23173847111004353,0.3525809522029451,-0.07853974914559295,-0.1507937372019278,-0.1163390172808022,-0.1467908824869242,0.08919518640927164,0.15090370612494136,0.07779667853497325,0.21982905381234444,,,,,,,,,,,,
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.506173927404756,0.5113962394513292,0.5180883317777734,0.5149111731785839,0.40193996756143013,0.41532591959285453,0.4177691328986795,0.41528328058813635,0.44447217145068385,0.4531548135240058,0.4607580473417815,0.45915587677072145,0.08661031799031012,0.08929973455316877,0.09354594177737731,0.08356529908290022,0.021536082358043437,0.02018152528396194,0.021232180869823706,0.0137671150761093,0.013912670575861246,0.017397827834955894,0.02026507814373898,0.014721044782108514,0.5939770098594275,0.5587211916631445,0.6419786756722368,0.5859966309425141,0.45328850700328094,0.41443386631696927,0.5409319042838022,0.3949136911567158,0.40094110605183997,0.3907301498659529,0.46271747186440987,0.42654758358684886,0.20433230624435783,0.223590538050848,0.22400785074556287,0.21636072766486444,0.02928529884372373,0.04640354583376977,0.053115318464871684,0.027821056551458317,0.007197017704301672,0.015752262497725013,0.031251149528035246,0.0020912330308988287
HALLMARK_G2M_CHECKPOINT,1.0426160609046085,1.045358059502473,1.041960084655642,1.0437568616273483,0.9379547624192867,0.940012066853223,0.9382410509153115,0.9388756441922271,0.9867695934895763,0.9895627294295086,0.9846583383051675,0.9879853426552475,0.5829193870992314,0.5860568688343224,0.5823914188050499,0.5840894079690806,0.5350192191251548,0.5381662372705892,0.5346001820552069,0.536075899410699,0.5363250967337958,0.5390450099687242,0.5353560627912868,0.53766819773739,0.20356166200503492,0.35797124846728523,0.2560722570302748,0.27978947698643547,0.09002024590217718,0.12274973929550335,0.11650594785147099,0.09286757623879405,0.0669224539781283,0.21467704032337967,0.10909241911311852,0.14129693427916382,,,,,,,,,,,,
HALLMARK_HYPOXIA,0.683713644930294,0.6755528637176926,0.6790686850982509,0.6679868094819151,0.5805631346940751,0.5834090204287066,0.5859735524791293,0.5679973520564483,0.6233629117295345,0.6119482367350162,0.6148555731060033,0.6040853409863349,0.20731758703441325,0.20846504949385505,0.2117957231978777,0.2008945835118238,0.14744692484794117,0.14736201448189962,0.15126868865541243,0.13870933577675307,0.1427981151182665,0.14254102547714081,0.14743977373476977,0.132449335271374,0.4447974650758933,0.4292164830908159,0.5212196937141163,0.3204485440017951,0.18267008509984833,0.2862559946596409,0.3828157766047863,0.1491270758038654,0.29488281429537183,0.2620839604192474,0.341987121049502,0.14442360888614902,0.4642656177821107,0.47547967604692826,0.5041180159628361,0.42467879425976507,0.2951500401605305,0.2910961227469769,0.31649639128003687,0.21449696258834575,0.32834351166848336,0.34394758554553206,0.37007115087885956,0.2559333374662339
HALLMARK_KRAS_SIGNALING_DN,0.2224726057659941,0.21629199062928461,0.2036392942640184,0.2151917668528543,0.08018453853708324,0.08627194503360526,0.08884176117645488,0.08274435529319038,0.16729145216877164,0.16117810209282876,0.14401251801211,0.16102725806429963,-0.17780007618336344,-0.18112203423233764,-0.17588791120183975,-0.18913661041054292,-0.22613278248534824,-0.2319099834907292,-0.23281512914593558,-0.24071277896186308,-0.22684972384490815,-0.22668255162259315,-0.224301476091705,-0.23404373054939692,0.27303319404132015,0.3034360174247173,0.2648799223157878,0.1969359017670055,0.265792315856487,0.31586968378133295,0.28803810966886534,0.22359847153097392,0.1110592332448722,0.13379365694453793,0.07314075277098687,0.0029896428362646984,-0.10560460066361972,-0.03178621934343311,-0.06224589783237689,-0.15273145432314036,-0.22771485596974683,-0.16045349724672367,-0.1620012763722085,-0.296594363638249,-0.20674991501564355,-0.1372251846854719,-0.17841492133514594,-0.26762311128668254
HALLMARK_KRAS_SIGNALING_UP,0.35359035888656837,0.3664583896185579,0.3717764037390476,0.3542976368881047,0.21789308557616627,0.23882522364867517,0.22702040900022769,0.22571061064703365,0.29214028107891277,0.3087198794444944,0.31646818775678487,0.2943355057423959,-0.0753236077219619,-0.06741411794971876,-0.07083103414361762,-0.0733439818836461,-0.12914200408982307,-0.13153715529468996,-0.13368486544266547,-0.13432376134069668,-0.1363482840300961,-0.1240410573326923,-0.12833580424390287,-0.1347925000891674,0.3554740179814098,0.5088593174620326,0.4158667898199527,0.4034511981121698,0.35348030673625075,0.4110960943685923,0.3717083748008741,0.35049617764876756,0.1933402528589944,0.33827813294998904,0.24530713362636206,0.25160144832464915,0.23468754181187326,0.26290005561914725,0.2830168466798982,0.26113758386976776,0.12249644076544793,0.035663359730935755,0.14178357190580956,0.030395752794895082,0.07848702153070125,0.1031673152187926,0.1203673107834734,0.07892638779576505
HALLMARK_MYC_TARGETS_V1,1.202082627535825,1.2019431174930275,1.2011568910647636,1.2036392942640184,1.0788787783558105,1.0787308794942732,1.0781013663411863,1.0801845385370832,1.1424732388649135,1.1423574119706008,1.1415725691510474,1.1440125180121101,0.8086352984252788,0.8083743464602475,0.8072686616333326,0.8108633895894571,0.7570355861369952,0.7568386045012743,0.7557119378453485,0.759287221038137,0.7636249766356834,0.7634424957802477,0.7622560206828374,0.765956269450603,0.23950575861311388,0.2471910718321479,0.29551040531422645,0.47752597493430954,-0.159813171029434,-0.17548797212325315,-0.13554192476120966,-0.12169217055491321,0.1089802619313414,0.07398161821117887,0.1360537715147983,0.3409521163065309,,,,,,,,,,,,
HALLMARK_MYC_TARGETS_V2,1.052143717279142,1.0433977519189366,1.0466839098485865,1.0481690114355198,0.949036823444949,0.9413483368130299,0.9445990120810882,0.9457216754778053,0.9968441383168052,0.9884401048713115,0.9914288945051883,0.9929636190972215,0.5903340240633267,0.5772749878322366,0.5830629983568534,0.5846761363945115,0.542900474065308,0.5303980471184142,0.5333504527437716,0.5373566170492955,0.5439894431505331,0.5312459731214282,0.5359161009451929,0.5381445622032611,0.4477899671949605,0.052635859513737386,0.22287990910607183,0.14142060876655166,-0.1404614394612276,-0.336897124520859,-0.16713825016738448,-0.3300103531173118,0.2806818164516394,-0.12580997245705816,0.04837064738707058,0.02415067742432644,,,,,,,,,,,,
HALLMARK_NOTCH_SIGNALING,0.6948005871537147,0.7046414987531162,0.6995802004851814,0.6953465011084538,0.5646475372259099,0.5716709101860666,0.5692368788906859,0.5666880560505476,0.6476218255343218,0.6573965576391455,0.6515045461820779,0.6480438714229948,0.14830972494318273,0.1567090807097717,0.14667986013928722,0.14727596415796346,0.09431275731340366,0.10901205211529509,0.10399974259090987,0.09243929964963127,0.083298905682253,0.08870682280288586,0.07790149054176809,0.08168886538307886,0.32784507290845283,0.6360230062868926,0.49150799611698154,0.33684510203020945,0.0834480692272795,0.42921729429539474,0.05955932290805146,0.09955765674178967,0.16992088339695086,0.4611240849591963,0.3633601901184346,0.1419758543513179,,,,,,,,,,,,
HALLMARK_P53_PATHWAY,0.77763511572859,0.7732478125307408,0.7783127075336719,0.7698281475969977,0.6781053407357757,0.6844093205812757,0.6839180349872674,0.6832127269488454,0.7212145173470247,0.7117514374781898,0.7209876844076695,0.7084541173992486,0.28891023050423487,0.29096953691027333,0.29146478862648567,0.2901706324261718,0.23447151027956148,0.23615048805377475,0.23947276197460513,0.23226819155633505,0.22705867918323316,0.229927264656598,0.23147742773984264,0.22851936965770217,0.20671289231814538,0.24730999032322548,0.3230419980754172,0.24732461357819907,0.057080295705966684,0.1124532367123318,0.18334196073743977,0.038796935465578705,0.01748011329778754,0.07384344449456023,0.1266070918504401,0.08593127082674872,0.5619785614229144,0.5813009220480135,0.576925506773517,0.5297028183138823,0.3613321829855277,0.38346961351658865,0.41605512239260867,0.3079836012084053,0.39696020416204153,0.43170488223909503,0.4345515832820104,0.37309683628162493
HALLMARK_TGF_BETA_SIGNALING,0.785507650865651,0.7944295455085821,0.7845373853785557,0.7873447528234421,0.6983725415215791,0.7176060583028118,0.6975356294787212,0.703348482655875,0.7342509123931077,0.7425185220895486,0.7331242437182602,0.7365499569852153,0.25973104537663455,0.26889394756273494,0.2585749260506877,0.258223193192932,0.2098665243640105,0.21888804791306876,0.20747502418905292,0.20672481946574317,0.2020248142044069,0.21611052694689487,0.2018679294752947,0.20455842046510392,0.3817986348752591,0.6602075229372952,0.3745118226677632,0.5819000445316099,0.29652404794729104,0.39073318098336757,0.3000629252358265,0.3162628326431155,0.25452052048671364,0.5063011613427564,0.240837669771314,0.36406499562318173,,,,,,,,,,,,
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.568719075440919,0.5647938343362631,0.5689844296991384,0.556817850499491,0.4665636710689764,0.467085192488675,0.4619631931974808,0.4538787061052614,0.5126743599982578,0.5074013530050138,0.5147524771249472,0.4991903967392304,0.07607151395915707,0.0774577218003135,0.07916007949683146,0.0660409534592178,0.013755114576562139,0.011321903839232287,0.013422377823282256,0.004496344364198087,0.015662210940444437,0.01671003014041458,0.018836014839072067,0.0049014230978190075,0.6765218154888967,0.6559691408723792,0.7050330015120624,0.6350318839713938,0.47898044270318607,0.37605543807429664,0.4596127327548824,0.17588597470453374,0.5052127924777707,0.4834552354490256,0.520406109070208,0.44850045920608284,0.08256841345733523,0.07554965548533318,0.09054027116361146,0.042417746517125966,-0.10238164578581173,-0.1264172048465064,-0.0944093117039318,-0.19578585522083325,-0.08444685925020642,-0.0961122482828018,-0.081460015282702,-0.14071387543666372
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.7629212596630576,0.7764001848040974,0.774677264670544,0.7702363638500266,0.7090824460417693,0.7091954417781888,0.7101774692879897,0.7048865734812197,0.7007320623282628,0.7175907787181461,0.7197711224312838,0.7124604185821896,0.28165373542277855,0.28373020234822666,0.28412886649549784,0.2736994897615534,0.2310087685002323,0.23667602482395794,0.23766627661150153,0.21752476520045358,0.22570511984331637,0.22923700082955228,0.23033237256332495,0.2173924470451456,0.47741673304869164,0.4876811675974357,0.5015179255213187,0.3334176360337191,0.3403095438209902,0.3340385944922286,0.27679732339981117,0.1227169515632204,0.30449205557355047,0.28996145216958785,0.36317486877885313,0.15098964026359174,,,,,,,,,,,,
